person_id,first_name,last_name,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,birth_year,age_at_draft
76028,Bob,Allen,Bob Allen,"Allen, Bob",B. Allen,bob-allen,1946-07-17 00:00:00,Marshall,USA,Marshall/USA,6-9,205.0,1.0,50,Forward,Inactive,N,1610612744,Warriors,SFW,warriors,San Francisco,HISTADD_bob_allen,1968.0,1968.0,N,Y,Y,1968.0,6,71,N,1946,22.0
1628443,Kadeem,Allen,Kadeem Allen,"Allen, Kadeem",K. Allen,kadeem-allen,1993-01-15 00:00:00,Arizona,USA,Arizona/USA,6-1,200.0,3.0,,Guard,Inactive,N,0,,,,,kadeem_allen,2017.0,2019.0,Y,Y,Y,2017.0,2,53,N,1993,24.0
202730,Lavoy,Allen,Lavoy Allen,"Allen, Lavoy",L. Allen,lavoy-allen,1989-02-04 00:00:00,Temple,USA,Temple/USA,6-9,260.0,7.0,5,Forward-Center,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,lavoy_allen,2011.0,2016.0,Y,Y,Y,2011.0,2,50,N,1989,22.0
76027,Lucius,Allen,Lucius Allen,"Allen, Lucius",L. Allen,lucius-allen,1947-09-26 00:00:00,UCLA,USA,UCLA/USA,6-2,175.0,10.0,42,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,HISTADD_lucius_allen,1969.0,1978.0,N,Y,Y,1969.0,1,3,N,1947,22.0
2754,Tony,Allen,Tony Allen,"Allen, Tony",T. Allen,tony-allen,1982-01-11 00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-4,213.0,14.0,,Guard-Forward,Inactive,N,0,,,,,tony_allen,2004.0,2017.0,N,Y,Y,2004.0,1,25,N,1982,22.0
76029,Odis,Allison,Odis Allison,"Allison, Odis",O. Allison,odis-allison,1949-10-02 00:00:00,UNLV,USA,UNLV/USA,6-6,195.0,1.0,22,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_odis_allison,1971.0,1971.0,N,Y,Y,1971.0,5,76,N,1949,22.0
76030,Darrell,Allums,Darrell Allums,"Allums, Darrell",D. Allums,darrell-allums,1958-09-12 00:00:00,UCLA,USA,UCLA/USA,6-8,220.0,1.0,32,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_darrell_allums,1980.0,1980.0,N,Y,Y,1980.0,5,103,N,1958,22.0
201165,Morris,Almond,Morris Almond,"Almond, Morris",M. Almond,morris-almond,1985-02-02 00:00:00,Rice,USA,Rice/USA,6-6,225.0,4.0,21,Guard,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,morris_almond,2007.0,2011.0,Y,Y,Y,2007.0,1,25,N,1985,22.0
308,Derrick,Alston,Derrick Alston,"Alston, Derrick",D. Alston,derrick-alston,1972-08-20 00:00:00,Duquesne,USA,Duquesne/USA,6-11,225.0,3.0,,Center,Inactive,N,0,,,,,derrick_alston,1994.0,1996.0,N,Y,Y,1994.0,2,33,N,1972,22.0
1747,Rafer,Alston,Rafer Alston,"Alston, Rafer",R. Alston,rafer-alston,1976-07-24 00:00:00,Fresno State,USA,Fresno State/USA,6-2,175.0,11.0,11,Guard,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,rafer_alston,1999.0,2009.0,Y,Y,Y,1998.0,2,39,N,1976,22.0
2431,David,Andersen,David Andersen,"Andersen, David",D. Andersen,david-andersen,1980-06-23 00:00:00,FC Barcelona,Australia,FC Barcelona/Australia,,,20.0,,,Inactive,N,0,,,,,david_andersen,2009.0,2017.0,N,Y,Y,2002.0,2,36,N,1980,22.0
76036,Daniel,Anderson,Daniel Anderson,"Anderson, Daniel",D. Anderson,daniel-anderson,1951-01-01 00:00:00,Southern California,USA,Southern California/USA,6-2,185.0,2.0,33,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_daniel_anderson,1974.0,1975.0,N,Y,Y,1974.0,6,92,N,1951,23.0
1507,Derek,Anderson,Derek Anderson,"Anderson, Derek",D. Anderson,derek-anderson,1974-07-18 00:00:00,Kentucky,USA,Kentucky/USA,6-5,195.0,12.0,1,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,derek_anderson,1997.0,2007.0,N,Y,Y,1997.0,1,13,N,1974,23.0
76037,Dwight,Anderson,Dwight Anderson,"Anderson, Dwight",D. Anderson,dwight-anderson,1960-12-28 00:00:00,Southern California,USA,Southern California/USA,6-3,185.0,1.0,20,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,HISTADD_dwight_anderson,1982.0,1982.0,N,Y,Y,1982.0,2,41,N,1960,22.0
246,Greg,Anderson,Greg Anderson,"Anderson, Greg",G. Anderson,greg-anderson,1964-06-22 00:00:00,Houston,USA,Houston/USA,6-10,250.0,10.0,0,Center-Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,greg_anderson,1987.0,1997.0,N,Y,Y,1987.0,1,23,N,1964,23.0
202341,James,Anderson,James Anderson,"Anderson, James",J. Anderson,james-anderson,1989-03-25 00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-6,213.0,6.0,5,Guard-Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,james_anderson,2010.0,2015.0,Y,Y,Y,2010.0,1,20,N,1989,21.0
76040,Jerome,Anderson,Jerome Anderson,"Anderson, Jerome",J. Anderson,jerome-anderson,1953-10-09 00:00:00,West Virginia,USA,West Virginia/USA,6-5,195.0,2.0,21-23,Guard,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,HISTADD_jerome_anderson,1975.0,1976.0,N,Y,Y,1975.0,3,53,N,1953,22.0
1626147,Justin,Anderson,Justin Anderson,"Anderson, Justin",J. Anderson,justin-anderson,1993-11-19 00:00:00,Virginia,USA,Virginia/USA,6-5,231.0,7.0,,Forward-Guard,Inactive,N,0,,,,,justin_anderson,2015.0,2021.0,Y,Y,Y,2015.0,1,21,N,1993,22.0
72,Kenny,Anderson,Kenny Anderson,"Anderson, Kenny",K. Anderson,kenny-anderson,1970-10-09 00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-1,168.0,14.0,,Guard,Inactive,N,0,,,,,kenny_anderson,1991.0,2004.0,N,Y,Y,1991.0,1,2,N,1970,21.0
76041,Kim,Anderson,Kim Anderson,"Anderson, Kim",K. Anderson,kim-anderson,1955-05-12 00:00:00,Missouri,USA,Missouri/USA,6-7,200.0,1.0,42,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_kim_anderson,1978.0,1978.0,N,Y,Y,1978.0,7,146,N,1955,23.0
76042,Michael,Anderson,Michael Anderson,"Anderson, Michael",M. Anderson,michael-anderson,1966-03-23 00:00:00,Drexel,USA,Drexel/USA,5-11,184.0,1.0,10,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,HISTADD_michael_anderson,1988.0,1988.0,N,Y,Y,1988.0,3,73,N,1966,22.0
76043,Mitchell,Anderson,Mitchell Anderson,"Anderson, Mitchell",M. Anderson,mitchell-anderson,1960-09-23 00:00:00,Bradley,USA,Bradley/USA,6-8,195.0,3.0,11,Forward,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,HISTADD_jj_anderson,1982.0,1984.0,N,Y,Y,1982.0,2,36,N,1960,22.0
98,Nick,Anderson,Nick Anderson,"Anderson, Nick",N. Anderson,nick-anderson,1968-01-20 00:00:00,Illinois,USA,Illinois/USA,6-6,228.0,14.0,5,Forward-Guard,Inactive,N,1610612753,Magic,ORL,magic,Orlando,nick_anderson,1989.0,2002.0,N,Y,Y,1989.0,1,11,N,1968,21.0
76045,Richard,Anderson,Richard Anderson,"Anderson, Richard",R. Anderson,richard-anderson,1960-11-19 00:00:00,California-Santa Barbara,USA,California-Santa Barbara/USA,6-10,240.0,6.0,35,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_richard_anderson,1982.0,1989.0,N,Y,Y,1982.0,2,32,N,1960,22.0
76046,Ron,Anderson,Ron Anderson,"Anderson, Ron",R. Anderson,ron-anderson,1958-10-15 00:00:00,Fresno State,USA,Fresno State/USA,6-7,215.0,10.0,35,Forward,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,HISTADD_ron_anderson,1984.0,1993.0,N,Y,Y,1984.0,2,27,N,1958,26.0
201583,Ryan,Anderson,Ryan Anderson,"Anderson, Ryan",R. Anderson,ryan-anderson,1988-05-06 00:00:00,California,USA,California/USA,6-9,240.0,12.0,,Forward,Inactive,N,0,,,,,ryan_anderson,2008.0,2019.0,N,Y,Y,2008.0,1,21,N,1988,20.0
1000,Shandon,Anderson,Shandon Anderson,"Anderson, Shandon",S. Anderson,shandon-anderson,1973-12-31 00:00:00,Georgia,USA,Georgia/USA,6-6,215.0,10.0,49,Guard-Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,shandon_anderson,1996.0,2005.0,N,Y,Y,1996.0,2,54,N,1973,23.0
335,Willie,Anderson,Willie Anderson,"Anderson, Willie",W. Anderson,willie-anderson,1967-01-08 00:00:00,Georgia,USA,Georgia/USA,6-8,200.0,8.0,35,Guard-Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,willie_anderson,1988.0,1996.0,N,Y,Y,1988.0,1,10,N,1967,21.0
101149,Martynas,Andriuskevicius,Martynas Andriuskevicius,"Andriuskevicius, Martynas",M. Andriuskevicius,martynas-andriuskevicius,1986-03-12 00:00:00,Zalgiris,Lithuania,Zalgiris/Lithuania,7-2,240.0,2.0,15,Center,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,martynas_andriuskevicius,2005.0,2006.0,Y,Y,Y,2005.0,2,44,N,1986,19.0
76049,Don,Anielak,Don Anielak,"Anielak, Don",D. Anielak,don-anielak,1930-11-01 00:00:00,Missouri State,USA,Missouri State/USA,6-7,190.0,1.0,12,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_don_anielak,1954.0,1954.0,N,Y,Y,1954.0,3,26,N,1930,24.0
1628387,Ike,Anigbogu,Ike Anigbogu,"Anigbogu, Ike",I. Anigbogu,ike-anigbogu,1998-10-16 00:00:00,UCLA,USA,UCLA/USA,6-10,250.0,3.0,,Center,Inactive,N,0,,,,,ike_anigbogu,2017.0,2018.0,Y,Y,Y,2017.0,2,47,N,1998,19.0
76050,Michael,Ansley,Michael Ansley,"Ansley, Michael",M. Ansley,michael-ansley,1967-02-08 00:00:00,Alabama,USA,Alabama/USA,6-7,225.0,3.0,54,Forward,Inactive,N,1610612753,Magic,ORL,magic,Orlando,HISTADD_michael_ansley,1989.0,1991.0,N,Y,Y,1989.0,2,37,N,1967,22.0
1512,Chris,Anstey,Chris Anstey,"Anstey, Chris",C. Anstey,chris-anstey,1975-01-01 00:00:00,South East Melbourne,Australia,South East Melbourne/Australia,7-0,249.0,2.0,22,Center,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,chris_anstey,1997.0,1999.0,N,Y,Y,1997.0,1,18,N,1975,22.0
1628961,Kostas,Antetokounmpo,Kostas Antetokounmpo,"Antetokounmpo, Kostas",K. Antetokounmpo,kostas-antetokounmpo,1997-11-20 00:00:00,University of Dayton,Greece,Dayton/Greece,6-10,200.0,4.0,37,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,kostas_antetokounmpo,2018.0,2020.0,Y,Y,Y,2018.0,2,60,N,1997,21.0
2546,Carmelo,Anthony,Carmelo Anthony,"Anthony, Carmelo",C. Anthony,carmelo-anthony,1984-05-29 00:00:00,Syracuse,USA,Syracuse/USA,6-7,238.0,20.0,7,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,carmelo_anthony,2003.0,2021.0,N,Y,Y,2003.0,1,3,Y,1984,19.0
21,Greg,Anthony,Greg Anthony,"Anthony, Greg",G. Anthony,greg-anthony,1967-11-15 00:00:00,UNLV,USA,UNLV/USA,6-1,180.0,11.0,50,Guard,Inactive,N,1610612752,Knicks,NYK,knicks,New York,greg_anthony,1991.0,2001.0,N,Y,Y,1991.0,1,12,N,1967,24.0
2737,Rafael,Araujo,Rafael Araujo,"Araujo, Rafael",R. Araujo,rafael-araujo,1980-08-12 00:00:00,Brigham Young,Brazil,Brigham Young/Brazil,6-11,270.0,4.0,55,Center,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,rafael_araujo,2004.0,2006.0,N,Y,Y,2004.0,1,8,N,1980,24.0
76054,Nate,Archibald,Nate Archibald,"Archibald, Nate",N. Archibald,nate-archibald,1948-09-02 00:00:00,Texas-El Paso,USA,Texas-El Paso/USA,6-1,150.0,13.0,1,Guard,Inactive,N,1610612758,Kings,KCK,kings,Kansas City,HISTADD_nate_archibald,1970.0,1983.0,N,Y,Y,1970.0,2,19,Y,1948,22.0
2425,Robert,Archibald,Robert Archibald,"Archibald, Robert",R. Archibald,robert-archibald,1980-03-29 00:00:00,Illinois,Scotland,Illinois/Scotland,6-11,250.0,3.0,34,Forward,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,robert_archibald,2002.0,2003.0,N,Y,Y,2002.0,2,31,N,1980,22.0
76055,Jim,Ard,Jim Ard,"Ard, Jim",J. Ard,jim-ard,1948-09-19 00:00:00,Cincinnati,USA,Cincinnati/USA,6-9,215.0,4.0,34,Center,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,HISTADD_jim_ard,1974.0,1977.0,N,Y,Y,1970.0,1,6,N,1948,22.0
2240,Gilbert,Arenas,Gilbert Arenas,"Arenas, Gilbert",G. Arenas,gilbert-arenas,1982-01-06 00:00:00,Arizona,USA,Arizona/USA,6-4,215.0,12.0,10,Guard,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,gilbert_arenas,2001.0,2011.0,N,Y,Y,2001.0,2,30,N,1982,19.0
2772,Trevor,Ariza,Trevor Ariza,"Ariza, Trevor",T. Ariza,trevor-ariza,1985-06-30 00:00:00,UCLA,USA,UCLA/USA,6-8,215.0,18.0,,Forward,Inactive,N,0,,,,,trevor_ariza,2004.0,2021.0,N,Y,Y,2004.0,2,43,N,1985,19.0
76056,Paul,Arizin,Paul Arizin,"Arizin, Paul",P. Arizin,paul-arizin,1928-04-09 00:00:00,Villanova,USA,Villanova/USA,6-4,190.0,10.0,11,Forward,Inactive,N,1610612744,Warriors,PHW,warriors,Philadelphia,HISTADD_paul_arizin,1950.0,1961.0,N,Y,Y,1950.0,,,Y,1928,22.0
76057,Joe,Arlauckas,Joe Arlauckas,"Arlauckas, Joe",J. Arlauckas,joe-arlauckas,1965-07-20 00:00:00,Niagara,USA,Niagara/USA,6-9,230.0,1.0,53,Forward,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,HISTADD_joe_arlauckas,1987.0,1987.0,N,Y,Y,1987.0,4,74,N,1965,22.0
769,B.J.,Armstrong,B.J. Armstrong,"Armstrong, B.J.",B. Armstrong,bj-armstrong,1967-09-09 00:00:00,Iowa,USA,Iowa/USA,6-2,185.0,11.0,11,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,b.j._armstrong,1989.0,1999.0,N,Y,Y,1989.0,1,18,N,1967,22.0
